#	 Module 	 Chip 	 Chn 	 CellID1 	 I 	 J 	 K 	 CellID0
2	10	4	4738	1	20	1	656896
2	11	4	4802	1	14	1	460288
2	12	4	4866	7	11	1	361600
2	13	4	4930	7	5	1	164992
2	14	4	4994	1	8	1	263680
2	15	4	5058	1	2	1	67072
1	0	5	5121	13	18	1	590592
2	0	5	5122	19	24	1	786816
4	0	5	5124	31	4	1	131456
5	0	5	5125	1	16	1	524544
1	1	5	5185	13	12	1	393984
2	1	5	5186	19	18	1	590208
4	1	5	5188	24	1	1	33600
5	1	5	5189	2	21	1	688320
1	2	5	5249	7	13	1	427136
2	2	5	5250	13	19	1	623360
4	2	5	5252	14	4	1	132544
5	2	5	5253	4	21	1	688192
1	3	5	5313	7	7	1	230528
2	3	5	5314	13	13	1	426752
4	3	5	5316	6	1	1	34752
5	3	5	5317	3	16	1	524416
2	4	5	5378	19	12	1	393600
2	5	5	5442	19	6	1	196992
2	6	5	5506	13	7	1	230144
2	7	5	5570	13	1	1	33536
2	8	5	5634	7	24	1	787584
2	9	5	5698	7	18	1	590976
2	10	5	5762	1	19	1	624128
2	11	5	5826	1	13	1	427520
2	12	5	5890	7	12	1	394368
2	13	5	5954	7	6	1	197760
2	14	5	6018	1	7	1	230912
2	15	5	6082	1	1	1	34304
1	0	6	6145	14	13	1	426688
2	0	6	6146	20	19	1	622912
4	0	6	6148	32	4	1	131392
5	0	6	6149	1	17	1	557312
1	1	6	6209	14	7	1	230080
2	1	6	6210	20	13	1	426304
4	1	6	6212	25	1	1	33536
5	1	6	6213	2	20	1	655552
1	2	6	6273	8	18	1	590912
2	2	6	6274	14	24	1	787136
4	2	6	6276	15	4	1	132480
5	2	6	6277	4	20	1	655424
1	3	6	6337	8	12	1	394304
2	3	6	6338	14	18	1	590528
4	3	6	6340	7	1	1	34688
5	3	6	6341	3	17	1	557184
2	4	6	6402	20	7	1	229696
2	5	6	6466	20	1	1	33088
2	6	6	6530	14	12	1	393920
2	7	6	6594	14	6	1	197312
2	8	6	6658	8	19	1	623680
2	9	6	6722	8	13	1	427072
2	10	6	6786	2	24	1	787904
2	11	6	6850	2	18	1	591296
2	12	6	6914	8	7	1	230464
2	13	6	6978	8	1	1	33856
2	14	6	7042	2	12	1	394688
2	15	6	7106	2	6	1	198080
1	0	7	7169	14	14	1	459456
2	0	7	7170	20	20	1	655680
4	0	7	7172	33	4	1	131328
5	0	7	7173	1	18	1	590080
1	1	7	7233	14	8	1	262848
2	1	7	7234	20	14	1	459072
4	1	7	7236	26	1	1	33472
5	1	7	7237	2	19	1	622784
1	2	7	7297	8	17	1	558144
2	2	7	7298	14	23	1	754368
4	2	7	7300	16	4	1	132416
5	2	7	7301	4	19	1	622656
1	3	7	7361	8	11	1	361536
2	3	7	7362	14	17	1	557760
4	3	7	7364	8	1	1	34624
5	3	7	7365	3	18	1	589952
2	4	7	7426	20	8	1	262464
2	5	7	7490	20	2	1	65856
2	6	7	7554	14	11	1	361152
2	7	7	7618	14	5	1	164544
2	8	7	7682	8	20	1	656448
2	9	7	7746	8	14	1	459840
2	10	7	7810	2	23	1	755136
2	11	7	7874	2	17	1	558528
2	12	7	7938	8	8	1	263232
2	13	7	8002	8	2	1	66624
2	14	7	8066	2	11	1	361920
2	15	7	8130	2	5	1	165312
1	0	8	8193	14	15	1	492224
2	0	8	8194	20	21	1	688448
4	0	8	8196	34	4	1	131264
5	0	8	8197	1	10	1	327936
1	1	8	8257	14	9	1	295616
2	1	8	8258	20	15	1	491840
4	1	8	8260	27	1	1	33408
5	1	8	8261	2	27	1	884928
1	2	8	8321	8	16	1	525376
2	2	8	8322	14	22	1	721600
4	2	8	8324	17	4	1	132352
5	2	8	8325	4	27	1	884800
1	3	8	8385	8	10	1	328768
2	3	8	8386	14	16	1	524992
4	3	8	8388	9	1	1	34560
5	3	8	8389	3	10	1	327808
2	4	8	8450	20	9	1	295232
2	5	8	8514	20	3	1	98624
2	6	8	8578	14	10	1	328384
2	7	8	8642	14	4	1	131776
2	8	8	8706	8	21	1	689216
2	9	8	8770	8	15	1	492608
2	10	8	8834	2	22	1	722368
2	11	8	8898	2	16	1	525760
2	12	8	8962	8	9	1	296000
2	13	8	9026	8	3	1	99392
2	14	8	9090	2	10	1	329152
2	15	8	9154	2	4	1	132544
1	0	9	9217	14	16	1	524992
2	0	9	9218	20	22	1	721216
4	0	9	9220	35	4	1	131200
5	0	9	9221	1	9	1	295168
1	1	9	9281	14	10	1	328384
2	1	9	9282	20	16	1	524608
4	1	9	9284	28	1	1	33344
5	1	9	9285	2	28	1	917696
1	2	9	9345	8	15	1	492608
2	2	9	9346	14	21	1	688832
4	2	9	9348	18	4	1	132288
5	2	9	9349	4	28	1	917568
1	3	9	9409	8	9	1	296000
